Job Title,Requirements
Senior Tax and Accounting Specialist job description,"Bachelor’s Degree in Finance, Accounting, or related field; 2-5 years of experience in a tax-related position, with Big 4 experience preferred; Knowledge of Greek corporate tax requirements and GAAP; IFRS familiarity a plus; Excellent English communication skills; Knowledge of accounting systems is an asset; High accuracy and attention to detail; Strong team player with the ability to work independently"
Accounting Intern job description,"Recent graduate or currently in the last year of Accounting & Finance studies (BSc or MSc); Excellent command of the English language; Proficient in Office Suite, especially Excel; Basic knowledge of accounting software (preferred)"
Billing Manager job description,"Proven work experience as a Billing Manager or similar role; Excellent verbal and written communication skills; Proficient in Microsoft Office Suite or related software; Basic understanding of collection practices and laws; Excellent interpersonal and supervisory skills; Ability to act with discretion, tact, and professionalism in all situations; Relevant training and/or certifications as a Billing Manager"
Accounts Payable Specialist job description,"Proven work experience as an Accounts Payable Specialist or similar role; Advanced competency in accounting and business management software; In-depth knowledge of accounts payable principles, accounting standards and industry regulations; Extensive experience in account reconciliation; Great time management and organizational skills; Excellent collaboration and communication abilities; Relevant training and/or certifications as an Accounts Payable Specialist"
Medical Biller job description,"Proven work experience as a Medical Biller or similar role; Solid understanding of billing software and electronic medical records; Must have the ability to multitask and manage time effectively; Excellent written and verbal communication skills; Outstanding problem-solving and organizational abilities; A Bachelor’s degree in business, health care administration, accounting or related field is preferred"
Cost analyst job description,"Proven experience as a cost analyst, cost specialist or similar role; Experience in data, operational and financial analysis; Knowledge of accounting processes and software; Strong analytical skills; A business acumen; Great attention to detail; Good communication aptitude; Degree in Finance, Accounting or similar field; Certified Public Accountant (CPA) preferred"
Payroll Accountant job description,"Previous experience as a payroll accountant or in a similar role; Understanding local and governmental rules about payroll; Excellent knowledge of MS Office, especially Excel; Great computational ability; Attention to detail; A valid national certification (e.g. Fundamental Payroll Certification); Degree in Accounting, Finance, or relevant field"
Tax Preparer job description,Experience as a Tax Preparer or a similar role; Good knowledge of tax preparation software; Advanced MS Office skills (particularly in using Excel); Comprehensive understanding of government tax laws; Excellent computational ability; Effective verbal and written communication skills; A degree in Finance or Accounting
Mortgage Loan Officer job description,Experience as a mortgage loan officer or in a similar role; Previous experience in sales or customer support is an asset; Working knowledge of mortgage loan computer software (e.g. Calyx Point); Ability to handle confidential information; Great mathematical and analytical skills; Attention to detail; Reliability and honesty; A valid license is a must; Degree in Finance or Business is a plus
Staff Accountant job description,Similar experience as a Staff Accountant or relevant role in accounting; Excellent use of Microsoft Office Word and Excel; very good with spreadsheets; Knowledge of an accounting information system is a plus; Good math skills; Attention to detail; Strong organizational and communication skills; Confidentiality and integrity; Degree in Accounting; MSc is a plus
Night Auditor job description,"Proven experience as a Night Auditor or in a similar role, preferably in the hospitality industry; Experience with accounting and facilities management software; Excellent math skills; An eye for detail; Good problem-solving skills; Strong customer service skills; The ability to multitask; Strong written and verbal communication skills; Availability to work overnight; BSc in accounting, finance or relevant field"
Accounts Administrator job description,"Proven work experience as an Accounts Administrator or similar role; Good knowledge of bookkeeping procedures and debt collection regulations; Hands-on experience with accounting software; Advanced knowledge of Excel (using financial formulas and creating spreadsheets); Solid data entry skills with an ability to identify numerical errors; Good organizational and time-management abilities; BSc degree in Finance, Accounting or relevant field"
Credit Manager job description,"Proven work experience as a Credit Manager,Credit Analystor similar role; Hands-on experience with accounting software; Solid understanding of lending procedures; Excellent analytical skills, with the ability to create and process financial spreadsheets (e.g. in Excel); Negotiation skills; BSc in Accounting, Economics, Banking and Finance or relevant field"
Credit Officer job description,"Proven work experience as a Credit Officer,Loan Officeror similar role; Hands-on experience with lending procedures and products; Ability to create and process financial spreadsheets; Strong analytical skills; Customer service experience; BSc in Banking and Finance, Economics or related field"
Accounting Assistant job description,"Work experience as an Accounting Assistant orAccounting Clerk; Knowledge of basic bookkeeping procedures; Familiarity with finance regulations; Good math skills and the ability to spot numerical errors; Hands-on experience with MS Excel and accounting software (e.g. QuickBooks); Organization skills; Ability to handle sensitive, confidential information; BSc/Ba in Accounting, Finance or relevant field"
Budget Manager job description,"Proven work experience as a Budget Manager orBudget Analyst; Hands-on experience with accounting software and statistical packages; Knowledge of MS Excel (specifically, advanced formulas, pivot tables and charts); Familiarity with forecasting methods and data analysis; Excellent numeracy skills with an attention to detail; Strong analytical skills; Knowledge of accounting best practices and regulations; Ability to explain budgeting and financial information in plain terms; BSc/MSc degree in Accounting, Finance or relevant field"
Corporate Accountant job description,"Proven experience as a Corporate Accountant; Excellent knowledge of accounting regulations and practices; In-depth experience in risk analysis, budgeting and forecasting; Proficient in MS Office (especially Excel) and finance software; An analytical mind with problem-solving aptitude; Excellent communication skills; Keen eye for detail; Organizational and leadership skills; BSc/BA in Accounting, Finance or related field; professional certification (e.g. CPA) is a plus"
Collection Specialist job description,Proven experienceas a Collection Specialist or similar role; Knowledge of billing procedures and collection techniques (e.g. skip tracing); Familiarity with laws related to debt collection (e.g. FDCPA); Working knowledge of MS Office and databases; Comfortable working with targets; Patience and ability to manage stress; Excellent communication skills (written and oral); Skilled in negotiation; Problem-solving skills; High school diploma; Associate’s/Bachelor’s degree is a plus
Billing Analyst job description,Proven experienceas a Billing Analyst or similar accounting role; Good knowledge of electronic billing procedures; Proficient in MS Office (especially Excel); familiarity with databases and SQL is an asset; Excellent communication ability; Organizational and time-management skills; Attention to detail; Teamwork skills; Ability to work independently and meet tight deadlines; BSc/BA in accounting or similar field is preferred
Forensic Accountant job description,"Proven work experience as a Forensic Accountant,Certified Public Accountant (CPA)or relevant role; Thorough knowledge of Generally Accepted Accounting Principles (GAAP); Experience with accounting and financial procedures; Understanding of forensic auditing procedures; Familiarity with accounting software and spreadsheets; Strong investigative and analytical skills; Excellent numeracy skills with an ability to spot inaccuracies; The ability to handle confidential information; BSc degree in Accounting or Finance, preferably with a Certified Fraud Examiner (CFE) or Certified Public Accountant (CPA) certification; Additional qualification in Economic Crime Investigation or Law Enforcement will be a plus"
Bursar job description,"Proven work experience as a Bursar; Computer literacy (MS Excel in particular); Strong financial management skills; Knowledge of accounting procedures and best practices; Familiarity with budget preparation and cash flow management; Solid time management skills with an ability to prioritize work; Excellent analytical skills and experience creating reports and presentations; BS degree in Accounting, Business Management or relevant degree; Certification in School Administration a plus"
Tax Accountant job description,"Proven work experience as a Tax Accountant, Tax Analyst or Tax Preparer; Knowledge of accounting and bookkeeping procedures; Familiarity with accounting software packages; Computer literacy (MS Excel in particular); Excellent analytical and time management skills; Strong numeracy skills; Keen attention to detail; BSc degree in Accounting, Finance or relevant subject; industry certification (e.g. CMA or CPA) is preferred"
Accounts Receivable Manager job description,Proven work experience as an Accounts Receivable Manager or Supervisor; Hands-on experience with accounting software; Familiarity with advanced formulas in MS Excel; Excellent analytical skills along with the ability to create and present detailed reports; Ability to accurately process numerical data; Team management and negotiation skills; Problem-solving attitude; Confidentiality; BSc degree in Accounting or Finance; CPA certification is a plus
Cost Accountant job description,"Proven work experienceas a Cost Accountant, Cost Analyst, Accountant or similar role; Thorough knowledge of accounting procedures; In-depth understanding of Generally Accepted Accounting Principles (GAAP); Experience with accounting software, like FreshBooks and Zoho; Computer literacy, MS Excel in particular (familiarity with VLOOKUPs and pivot tables); Excellent analytical skills with an attention to detail; Strong time management skills; Integrity, with an ability to handle confidential information; BSc degree in Accounting, Finance or relevant study"
Certified Public Accountant (CPA) job description,"Proven work experience as aCertified Public AccountantorSenior Accountant; Thorough knowledge of accounting and financial procedures; Understanding of Generally Accepted Accounting Principles (GAAP); Experience with accounting software, like FreshBooks and Zoho; Advanced MS Excel knowledge (familiarity with formulas, VLOOKUPs and pivot tables); Excellent analytical skills with an attention to detail; Integrity, with an ability to handle confidential information; BSc degree in Accounting or Finance and a CPA certification"
Accounting Supervisor job description,"Proven work experience as an Accounting Supervisor; Experience with accounting software (e.g. FreshBooks and Zoho); Strong computer skills, MS Excel in particular (managing spreadsheets, creating charts and using advanced formulas); Solid knowledge of bookkeeping and accounting principles, laws and regulations; Excellent analytical skills to manage large amounts of data; Attention to detail and accuracy; Team management skills; Ability to prioritize work; BS degree in Accounting or Finance; Accounting certification (e.g. CMA or CPA) is a plus"
